id,label
40001,0
40002,0
40003,1
40004,1
40005,1
40006,1
40007,1
40008,1
40009,0
40010,1
40011,1
40012,1
40013,1
40014,1
40015,1
40016,0
40017,0
40018,1
40019,0
40020,1
40021,1
40022,0
40023,1
40024,1
40025,0
40026,1
40027,0
40028,1
40029,1
40030,1
40031,1
40032,1
40033,0
40034,0
40035,0
40036,1
40037,1
40038,1
40039,1
40040,1
40041,0
40042,0
40043,1
40044,1
40045,1
40046,1
40047,1
40048,1
40049,1
40050,1
40051,0
40052,1
40053,0
40054,1
40055,0
40056,1
40057,0
40058,0
40059,1
40060,1
40061,1
40062,1
40063,1
40064,0
40065,1
40066,0
40067,0
40068,0
40069,1
40070,0
40071,1
40072,1
40073,1
40074,1
40075,0
40076,1
40077,0
40078,0
40079,1
40080,0
40081,0
40082,1
40083,1
40084,1
40085,0
40086,1
40087,1
40088,1
40089,1
40090,1
40091,1
40092,0
40093,1
40094,0
40095,1
40096,1
40097,1
40098,1
40099,1
40100,1
40101,1
40102,1
40103,1
40104,0
40105,1
40106,1
40107,0
40108,1
40109,0
40110,0
40111,1
40112,1
40113,0
40114,1
40115,1
40116,0
40117,0
40118,0
40119,0
40120,1
40121,1
40122,1
40123,1
40124,0
40125,1
40126,0
40127,1
40128,0
40129,1
40130,1
40131,1
40132,1
40133,1
40134,0
40135,1
40136,1
40137,1
40138,1
40139,1
40140,1
40141,0
40142,1
40143,1
40144,1
40145,0
40146,1
40147,0
40148,1
40149,0
40150,1
40151,1
40152,0
40153,0
40154,1
40155,1
40156,0
40157,1
40158,1
40159,0
40160,1
40161,1
40162,0
40163,1
40164,1
40165,1
40166,1
40167,1
40168,1
40169,0
40170,1
40171,1
40172,0
40173,1
40174,1
40175,1
40176,1
40177,1
40178,1
40179,0
40180,1
40181,1
40182,1
40183,1
40184,1
40185,0
40186,0
40187,1
40188,1
40189,0
40190,0
40191,1
40192,1
40193,1
40194,1
40195,0
40196,0
40197,1
40198,1
40199,1
40200,1
40201,0
40202,1
40203,1
40204,1
40205,0
40206,0
40207,0
40208,0
40209,1
40210,0
40211,1
40212,1
40213,0
40214,1
40215,1
40216,1
40217,1
40218,1
40219,0
40220,0
40221,1
40222,1
40223,1
40224,0
40225,0
40226,1
40227,1
40228,0
40229,1
40230,1
40231,0
40232,1
40233,1
40234,0
40235,0
40236,0
40237,0
40238,1
40239,0
40240,1
40241,1
40242,1
40243,1
40244,0
40245,1
40246,0
40247,0
40248,1
40249,1
40250,0
40251,0
40252,0
40253,0
40254,0
40255,1
40256,1
40257,1
40258,0
40259,1
40260,1
40261,1
40262,1
40263,0
40264,1
40265,1
40266,1
40267,0
40268,0
40269,1
40270,1
40271,1
40272,1
40273,1
40274,1
40275,0
40276,0
40277,1
40278,0
40279,1
40280,1
40281,0
40282,1
40283,0
40284,1
40285,1
40286,0
40287,1
40288,1
40289,1
40290,1
40291,1
40292,1
40293,1
40294,1
40295,1
40296,0
40297,1
40298,1
40299,1
40300,1
40301,0
40302,1
40303,0
40304,1
40305,1
40306,1
40307,0
40308,1
40309,1
40310,0
40311,1
40312,1
40313,0
40314,1
40315,1
40316,0
40317,1
40318,1
40319,1
40320,1
40321,1
40322,0
40323,0
40324,1
40325,0
40326,1
40327,1
40328,1
40329,1
40330,1
40331,0
40332,1
40333,0
40334,0
40335,1
40336,1
40337,0
40338,0
40339,1
40340,1
40341,1
40342,0
40343,1
40344,1
40345,0
40346,1
40347,1
40348,0
40349,0
40350,1
40351,1
40352,1
40353,1
40354,1
40355,1
40356,0
40357,1
40358,1
40359,1
40360,1
40361,1
40362,1
40363,0
40364,1
40365,1
40366,1
40367,0
40368,1
40369,1
40370,1
40371,1
40372,1
40373,1
40374,1
40375,1
40376,1
40377,1
40378,1
40379,1
40380,1
40381,1
40382,1
40383,0
40384,1
40385,1
40386,1
40387,1
40388,0
40389,1
40390,1
40391,1
40392,1
40393,0
40394,1
40395,1
40396,1
40397,1
40398,0
40399,1
40400,0
40401,0
40402,1
40403,0
40404,1
40405,0
40406,0
40407,1
40408,1
40409,1
40410,0
40411,1
40412,1
40413,1
40414,1
40415,1
40416,1
40417,0
40418,1
40419,0
40420,1
40421,0
40422,0
40423,1
40424,0
40425,0
40426,0
40427,1
40428,1
40429,1
40430,1
40431,1
40432,0
40433,0
40434,1
40435,0
40436,0
40437,1
40438,1
40439,0
40440,1
40441,0
40442,1
40443,1
40444,0
40445,0
40446,1
40447,1
40448,1
40449,1
40450,0
40451,1
40452,1
40453,1
40454,0
40455,0
40456,0
40457,1
40458,1
40459,1
40460,0
40461,1
40462,0
40463,1
40464,1
40465,1
40466,1
40467,0
40468,1
40469,1
40470,0
40471,1
40472,0
40473,0
40474,1
40475,1
40476,1
40477,1
40478,1
40479,1
40480,0
40481,1
40482,1
40483,1
40484,1
40485,0
40486,0
40487,1
40488,1
40489,1
40490,1
40491,0
40492,1
40493,1
40494,1
40495,1
40496,0
40497,1
40498,1
40499,1
40500,1
40501,1
40502,0
40503,1
40504,1
40505,1
40506,1
40507,1
40508,1
40509,1
40510,1
40511,1
40512,1
40513,1
40514,0
40515,0
40516,1
40517,1
40518,0
40519,1
40520,0
40521,1
40522,1
40523,1
40524,0
40525,1
40526,0
40527,1
40528,1
40529,1
40530,0
40531,0
40532,1
40533,0
40534,1
40535,1
40536,0
40537,1
40538,0
40539,1
40540,1
40541,1
40542,1
40543,0
40544,1
40545,0
40546,1
40547,1
40548,1
40549,1
40550,0
40551,1
40552,1
40553,1
40554,1
40555,0
40556,1
40557,1
40558,1
40559,1
40560,1
40561,1
40562,0
40563,1
40564,1
40565,1
40566,1
40567,1
40568,1
40569,1
40570,1
40571,1
40572,0
40573,1
40574,0
40575,1
40576,1
40577,1
40578,1
40579,0
40580,1
40581,0
40582,1
40583,1
40584,0
40585,1
40586,0
40587,1
40588,1
40589,0
40590,0
40591,0
40592,0
40593,1
40594,1
40595,0
40596,1
40597,0
40598,0
40599,1
40600,1
40601,0
40602,1
40603,1
40604,0
40605,1
40606,0
40607,1
40608,0
40609,1
40610,1
40611,1
40612,1
40613,1
40614,1
40615,0
40616,0
40617,0
40618,1
40619,1
40620,1
40621,1
40622,1
40623,1
40624,0
40625,0
40626,1
40627,1
40628,1
40629,1
40630,1
40631,0
40632,0
40633,0
40634,1
40635,1
40636,0
40637,1
40638,0
40639,1
40640,1
40641,1
40642,1
40643,0
40644,1
40645,1
40646,1
40647,0
40648,1
40649,0
40650,1
40651,0
40652,0
40653,1
40654,0
40655,1
40656,1
40657,1
40658,1
40659,0
40660,1
40661,1
40662,0
40663,1
40664,1
40665,1
40666,0
40667,0
40668,0
40669,0
40670,1
40671,1
40672,1
40673,0
40674,1
40675,0
40676,0
40677,1
40678,1
40679,0
40680,1
40681,1
40682,0
40683,1
40684,1
40685,1
40686,1
40687,0
40688,1
40689,0
40690,0
40691,0
40692,0
40693,1
40694,0
40695,1
40696,0
40697,1
40698,1
40699,0
40700,1
40701,1
40702,1
40703,1
40704,0
40705,1
40706,1
40707,0
40708,1
40709,1
40710,1
40711,1
40712,1
40713,1
40714,0
40715,1
40716,1
40717,1
40718,0
40719,0
40720,1
40721,1
40722,1
40723,1
40724,1
40725,0
40726,0
40727,0
40728,1
40729,0
40730,0
40731,1
40732,1
40733,1
40734,0
40735,1
40736,0
40737,1
40738,0
40739,0
40740,0
40741,1
40742,1
40743,0
40744,1
40745,1
40746,1
40747,1
40748,1
40749,0
40750,0
40751,1
40752,0
40753,0
40754,0
40755,0
40756,1
40757,1
40758,0
40759,1
40760,1
40761,0
40762,0
40763,1
40764,1
40765,0
40766,1
40767,1
40768,1
40769,1
40770,1
40771,1
40772,1
40773,0
40774,1
40775,1
40776,1
40777,0
40778,1
40779,1
40780,1
40781,1
40782,1
40783,0
40784,0
40785,0
40786,1
40787,0
40788,0
40789,1
40790,1
40791,1
40792,1
40793,1
40794,1
40795,1
40796,0
40797,1
40798,0
40799,1
40800,1
40801,1
40802,0
40803,1
40804,1
40805,1
40806,0
40807,1
40808,1
40809,1
40810,0
40811,0
40812,1
40813,0
40814,1
40815,1
40816,0
40817,0
40818,1
40819,1
40820,1
40821,1
40822,1
40823,1
40824,1
40825,1
40826,0
40827,1
40828,1
40829,0
40830,0
40831,0
40832,1
40833,1
40834,1
40835,1
40836,0
40837,0
40838,0
40839,1
40840,1
40841,1
40842,1
40843,0
40844,0
40845,1
40846,1
40847,1
40848,1
40849,0
40850,0
40851,1
40852,1
40853,1
40854,1
40855,1
40856,1
40857,1
40858,1
40859,1
40860,1
40861,1
40862,0
40863,0
40864,1
40865,1
40866,0
40867,0
40868,1
40869,0
40870,0
40871,1
40872,1
40873,0
40874,1
40875,1
40876,1
40877,1
40878,1
40879,1
40880,1
40881,1
40882,1
40883,1
40884,0
40885,1
40886,1
40887,1
40888,0
40889,1
40890,1
40891,1
40892,0
40893,1
40894,0
40895,0
40896,1
40897,1
40898,1
40899,1
40900,1
40901,1
40902,1
40903,0
40904,1
40905,1
40906,1
40907,1
40908,1
40909,0
40910,1
40911,1
40912,1
40913,1
40914,1
40915,0
40916,1
40917,0
40918,1
40919,1
40920,1
40921,1
40922,0
40923,1
40924,1
